attempt    K    arraySize    mergeSortTime    hybridSortTime
4    47    5000    0.005309    0.004410
4    48    5000    0.005307    0.004464
4    49    5000    0.005295    0.004458
4    50    5000    0.005296    0.004444
4    51    5000    0.005296    0.004439
4    52    5000    0.005305    0.004456
4    53    5000    0.005295    0.004475
4    54    5000    0.005298    0.004452
4    55    5000    0.005306    0.004438
4    56    5000    0.005299    0.004451
4    57    5000    0.005292    0.004450
4    58    5000    0.005291    0.004445
4    59    5000    0.005313    0.004459
4    60    5000    0.005314    0.004477
4    61    5000    0.005289    0.004472
4    62    5000    0.005296    0.004477
4    63    5000    0.005314    0.004473
4    64    5000    0.005325    0.004503
4    65    5000    0.005288    0.004431
4    66    5000    0.005294    0.004451
4    67    5000    0.005309    0.004470
4    68    5000    0.005331    0.004485
4    69    5000    0.005289    0.004455
4    70    5000    0.005286    0.004472
4    71    5000    0.005306    0.004443
4    72    5000    0.005305    0.004457
4    73    5000    0.005281    0.004458
4    74    5000    0.005296    0.004468
4    75    5000    0.005315    0.004458
4    76    5000    0.005308    0.004445
4    77    5000    0.005310    0.005491
4    78    5000    0.005290    0.005629
4    79    5000    0.005304    0.005663
4    80    5000    0.005307    0.005653
5    0    5000    0.005295    0.005503
5    1    5000    0.005296    0.004957
5    2    5000    0.005293    0.004692
5    3    5000    0.005298    0.004680
5    4    5000    0.005345    0.004322
5    5    5000    0.005324    0.004302
5    6    5000    0.005305    0.004302
5    7    5000    0.005305    0.004327
5    8    5000    0.005299    0.004274
5    9    5000    0.005290    0.004095
5    10    5000    0.005302    0.004094
5    11    5000    0.005303    0.004105
5    12    5000    0.005306    0.004107
5    13    5000    0.005283    0.004090
5    14    5000    0.005320    0.004080
5    15    5000    0.005319    0.004111
5    16    5000    0.005334    0.004104
5    17    5000    0.005286    0.004088
5    18    5000    0.005296    0.004070
5    19    5000    0.005301    0.004094
5    20    5000    0.005305    0.004060
5    21    5000    0.005302    0.004059
5    22    5000    0.005288    0.004066
5    23    5000    0.005308    0.004081
5    24    5000    0.005311    0.004095
5    25    5000    0.005299    0.004059
5    26    5000    0.005300    0.004060
5    27    5000    0.005306    0.004079
5    28    5000    0.005308    0.004078
5    29    5000    0.005281    0.004076
5    30    5000    0.005296    0.004059
5    31    5000    0.005307    0.004071
5    32    5000    0.005323    0.004081
5    33    5000    0.005291    0.004071
5    34    5000    0.005291    0.004062
5    35    5000    0.005294    0.004073
5    36    5000    0.005313    0.004092
5    37    5000    0.005308    0.004063
5    38    5000    0.005297    0.004414
5    39    5000    0.005306    0.004446
5    40    5000    0.005310    0.004444
5    41    5000    0.005306    0.004495
5    42    5000    0.005308    0.004462
5    43    5000    0.005306    0.004452
5    44    5000    0.006514    0.005974
5    45    5000    0.005338    0.004457
5    46    5000    0.005341    0.004467
5    47    5000    0.005306    0.004472
5    48    5000    0.005335    0.004458
5    49    5000    0.005304    0.004460
5    50    5000    0.005329    0.004465
5    51    5000    0.005303    0.004436
5    52    5000    0.005314    0.004461
5    53    5000    0.005295    0.004452
5    54    5000    0.005290    0.004432
5    55    5000    0.005295    0.004469
5    56    5000    0.005312    0.004441
5    57    5000    0.005295    0.004442
5    58    5000    0.005300    0.004440
5    59    5000    0.005304    0.004459
5    60    5000    0.005308    0.004476
5    61    5000    0.005295    0.004452
5    62    5000    0.005301    0.004459
5    63    5000    0.005304    0.004475
5    64    5000    0.005306    0.004445
5    65    5000    0.005296    0.004446
5    66    5000    0.005298    0.004452
5    67    5000    0.005302    0.004451
5    68    5000    0.005311    0.004489
5    69    5000    0.005295    0.004451
5    70    5000    0.005295    0.004456
5    71    5000    0.005309    0.004465
5    72    5000    0.005313    0.004439
5    73    5000    0.005290    0.004454
5    74    5000    0.005290    0.004481
5    75    5000    0.005322    0.004431
5    76    5000    0.005311    0.004462
5    77    5000    0.005290    0.005541
5    78    5000    0.005286    0.005713
5    79    5000    0.005308    0.005634
5    80    5000    0.005301    0.005642
6    0    5000    0.005290    0.005490
6    1    5000    0.005299    0.004956
6    2    5000    0.005300    0.004706
6    3    5000    0.005302    0.004665
6    4    5000    0.005315    0.004320
6    5    5000    0.005336    0.004290
6    6    5000    0.005303    0.004305
6    7    5000    0.005301    0.004320
6    8    5000    0.005306    0.004291
6    9    5000    0.005301    0.004092
6    10    5000    0.005302    0.004092
6    11    5000    0.005305    0.004114
6    12    5000    0.005308    0.004107
6    13    5000    0.005293    0.004084
6    14    5000    0.005332    0.004099
6    15    5000    0.005306    0.004107
6    16    5000    0.005306    0.004089
6    17    5000    0.005283    0.004096
6    18    5000    0.005287    0.004072
6    19    5000    0.005328    0.004078
6    20    5000    0.005306    0.004060
6    21    5000    0.005297    0.004063
6    22    5000    0.005303    0.004097
6    23    5000    0.005319    0.004100
6    24    5000    0.005315    0.004081
6    25    5000    0.005356    0.004072
6    26    5000    0.005311    0.004063
