attempt    K    arraySize    mergeSortTime    hybridSortTime
4    46    5000    0.005296    0.004423
4    47    5000    0.005298    0.004413
4    48    5000    0.005309    0.004414
4    49    5000    0.005294    0.004393
4    50    5000    0.005297    0.004407
4    51    5000    0.005296    0.004403
4    52    5000    0.005298    0.004407
4    53    5000    0.005302    0.004425
4    54    5000    0.005295    0.004412
4    55    5000    0.005297    0.004396
4    56    5000    0.005298    0.004429
4    57    5000    0.005299    0.004410
4    58    5000    0.005292    0.004424
4    59    5000    0.005301    0.004401
4    60    5000    0.005294    0.004426
4    61    5000    0.005300    0.004428
4    62    5000    0.005302    0.004421
4    63    5000    0.005298    0.004387
4    64    5000    0.005294    0.004405
4    65    5000    0.005296    0.004407
4    66    5000    0.005301    0.004420
4    67    5000    0.005297    0.004399
4    68    5000    0.005300    0.004430
4    69    5000    0.005296    0.004419
4    70    5000    0.005303    0.004403
4    71    5000    0.005298    0.004415
4    72    5000    0.005299    0.004407
4    73    5000    0.005296    0.004406
4    74    5000    0.005300    0.004422
4    75    5000    0.005307    0.004422
4    76    5000    0.005303    0.004411
4    77    5000    0.005303    0.005436
4    78    5000    0.005299    0.005571
4    79    5000    0.005300    0.005617
4    80    5000    0.005293    0.005571
5    0    5000    0.005301    0.005524
5    1    5000    0.005298    0.004974
5    2    5000    0.005292    0.004706
5    3    5000    0.005294    0.004665
5    4    5000    0.005301    0.004277
5    5    5000    0.005305    0.004295
5    6    5000    0.005296    0.004287
5    7    5000    0.005299    0.004299
5    8    5000    0.005303    0.004247
5    9    5000    0.005299    0.004070
5    10    5000    0.005306    0.004072
5    11    5000    0.005298    0.004071
5    12    5000    0.005293    0.004067
5    13    5000    0.005301    0.004066
5    14    5000    0.005299    0.004061
5    15    5000    0.005297    0.004066
5    16    5000    0.005297    0.004064
5    17    5000    0.005296    0.004071
5    18    5000    0.005295    0.004067
5    19    5000    0.005292    0.004042
5    20    5000    0.005304    0.004041
5    21    5000    0.005300    0.004046
5    22    5000    0.005296    0.004026
5    23    5000    0.005298    0.004037
5    24    5000    0.005303    0.004034
5    25    5000    0.005306    0.004041
5    26    5000    0.005297    0.004026
5    27    5000    0.005295    0.004032
5    28    5000    0.005298    0.004044
5    29    5000    0.005289    0.004029
5    30    5000    0.005302    0.004047
5    31    5000    0.005301    0.004026
5    32    5000    0.005304    0.004036
5    33    5000    0.005297    0.004044
5    34    5000    0.005300    0.004055
5    35    5000    0.005296    0.004039
5    36    5000    0.005303    0.004044
5    37    5000    0.005295    0.004027
5    38    5000    0.005300    0.004379
5    39    5000    0.005298    0.004437
5    40    5000    0.005297    0.004419
5    41    5000    0.005302    0.004400
5    42    5000    0.005303    0.004442
5    43    5000    0.005294    0.004424
5    44    5000    0.005295    0.004389
5    45    5000    0.005304    0.004418
5    46    5000    0.005299    0.004375
5    47    5000    0.005304    0.004439
5    48    5000    0.005295    0.004395
5    49    5000    0.005302    0.004425
5    50    5000    0.005298    0.004402
5    51    5000    0.005303    0.004399
5    52    5000    0.005296    0.004403
5    53    5000    0.005297    0.004439
5    54    5000    0.005305    0.004408
5    55    5000    0.005303    0.004429
5    56    5000    0.005298    0.004419
5    57    5000    0.005297    0.004394
5    58    5000    0.005298    0.004395
5    59    5000    0.005304    0.004409
5    60    5000    0.005300    0.004408
5    61    5000    0.005296    0.004387
5    62    5000    0.005299    0.004399
5    63    5000    0.005293    0.004399
5    64    5000    0.005305    0.004352
5    65    5000    0.005307    0.004419
5    66    5000    0.005302    0.004385
5    67    5000    0.005297    0.004358
5    68    5000    0.005295    0.004406
5    69    5000    0.005302    0.004430
5    70    5000    0.005301    0.004416
5    71    5000    0.005298    0.004420
5    72    5000    0.005300    0.004393
5    73    5000    0.005308    0.004391
5    74    5000    0.005293    0.004399
5    75    5000    0.005298    0.004449
5    76    5000    0.005302    0.004429
