attempt    K    arraySize    mergeSortTime    hybridSortTime
419    43    419    0.000122    0.000057
420    43    420    0.000122    0.000057
421    43    421    0.000122    0.000056
422    43    422    0.000124    0.000057
423    43    423    0.000123    0.000056
424    43    424    0.000123    0.000057
425    43    425    0.000125    0.000057
426    43    426    0.000125    0.000058
427    43    427    0.000124    0.000057
428    43    428    0.000125    0.000059
429    43    429    0.000125    0.000058
430    43    430    0.000125    0.000058
431    43    431    0.000126    0.000059
432    43    432    0.000125    0.000059
433    43    433    0.000127    0.000060
434    43    434    0.000126    0.000059
435    43    435    0.000127    0.000059
436    43    436    0.000127    0.000060
437    43    437    0.000128    0.000060
438    43    438    0.000128    0.000059
439    43    439    0.000129    0.000059
440    43    440    0.000129    0.000060
441    43    441    0.000128    0.000060
442    43    442    0.000127    0.000061
443    43    443    0.000129    0.000061
444    43    444    0.000129    0.000060
445    43    445    0.000129    0.000062
446    43    446    0.000128    0.000060
447    43    447    0.000129    0.000061
448    43    448    0.000129    0.000061
449    43    449    0.000142    0.000061
450    43    450    0.000130    0.000062
451    43    451    0.000132    0.000063
452    43    452    0.000132    0.000060
453    43    453    0.000132    0.000061
454    43    454    0.000133    0.000063
455    43    455    0.000130    0.000061
456    43    456    0.000132    0.000062
457    43    457    0.000134    0.000062
458    43    458    0.000133    0.000063
459    43    459    0.000134    0.000063
460    43    460    0.000133    0.000063
461    43    461    0.000134    0.000064
462    43    462    0.000134    0.000064
463    43    463    0.000133    0.000063
464    43    464    0.000134    0.000064
465    43    465    0.000134    0.000063
466    43    466    0.000138    0.000065
467    43    467    0.000137    0.000065
468    43    468    0.000137    0.000065
469    43    469    0.000136    0.000065
470    43    470    0.000137    0.000065
471    43    471    0.000137    0.000065
472    43    472    0.000138    0.000067
473    43    473    0.000138    0.000067
474    43    474    0.000140    0.000066
475    43    475    0.000140    0.000066
476    43    476    0.000141    0.000066
477    43    477    0.000140    0.000066
478    43    478    0.000141    0.000066
479    43    479    0.000141    0.000066
480    43    480    0.000143    0.000066
481    43    481    0.000142    0.000065
482    43    482    0.000143    0.000066
483    43    483    0.000141    0.000067
484    43    484    0.000142    0.000066
485    43    485    0.000143    0.000068
486    43    486    0.000143    0.000067
487    43    487    0.000141    0.000066
488    43    488    0.000143    0.000067
489    43    489    0.000144    0.000067
490    43    490    0.000145    0.000067
491    43    491    0.000144    0.000068
492    43    492    0.000144    0.000076
493    43    493    0.000144    0.000067
494    43    494    0.000145    0.000069
495    43    495    0.000145    0.000068
496    43    496    0.000145    0.000068
497    43    497    0.000147    0.000070
498    43    498    0.000146    0.000068
499    43    499    0.000148    0.000070
500    43    500    0.000148    0.000069
501    43    501    0.000147    0.000069
502    43    502    0.000147    0.000069
503    43    503    0.000147    0.000068
504    43    504    0.000149    0.000070
505    43    505    0.000148    0.000070
506    43    506    0.000148    0.000071
507    43    507    0.000147    0.000070
508    43    508    0.000149    0.000070
509    43    509    0.000149    0.000071
510    43    510    0.000149    0.000071
511    43    511    0.000150    0.000071
512    43    512    0.000151    0.000071
513    43    513    0.000151    0.000071
514    43    514    0.000152    0.000072
515    43    515    0.000153    0.000072
516    43    516    0.000151    0.000073
517    43    517    0.000152    0.000072
518    43    518    0.000153    0.000072
519    43    519    0.000153    0.000072
520    43    520    0.000153    0.000073
521    43    521    0.000153    0.000073
522    43    522    0.000154    0.000074
523    43    523    0.000155    0.000073
524    43    524    0.000155    0.000074
525    43    525    0.000154    0.000073
526    43    526    0.000155    0.000073
527    43    527    0.000155    0.000074
528    43    528    0.000157    0.000074
529    43    529    0.000156    0.000075
530    43    530    0.000157    0.000074
531    43    531    0.000158    0.000075
532    43    532    0.000167    0.000076
533    43    533    0.000159    0.000074
534    43    534    0.000159    0.000074
535    43    535    0.000157    0.000074
536    43    536    0.000159    0.000077
537    43    537    0.000160    0.000076
538    43    538    0.000159    0.000075
539    43    539    0.000159    0.000075
540    43    540    0.000160    0.000075
541    43    541    0.000161    0.000077
542    43    542    0.000161    0.000077
543    43    543    0.000160    0.000075
544    43    544    0.000162    0.000077
545    43    545    0.000163    0.000076
546    43    546    0.000163    0.000077
547    43    547    0.000163    0.000078
548    43    548    0.000162    0.000077
549    43    549    0.000165    0.000079
550    43    550    0.000164    0.000079
551    43    551    0.000165    0.000078
552    43    552    0.000165    0.000077
553    43    553    0.000163    0.000078
554    43    554    0.000167    0.000078
555    43    555    0.000164    0.000078
556    43    556    0.000167    0.000079
557    43    557    0.000168    0.000080
558    43    558    0.000167    0.000078
559    43    559    0.000168    0.000078
560    43    560    0.000168    0.000079
561    43    561    0.000167    0.000080
562    43    562    0.000168    0.000079
563    43    563    0.000170    0.000079
